L_http,L_https,L_numHyphens,L_numParams,L_numSubDomains,L_paramLen,L_pathLen,M_app,M_hasFBUrl,M_hasFBappURL,M_hasFBeventURL,M_hasLink,M_hasMessage,M_hasPicture,M_hasStory,M_length_of_link,M_postType,T_!,T_!!,T_:(,T_:),T_?,T_??,T_avgSentLen,T_avgWordLen,T_engDictWords,T_hashtagsPerWord,T_numChars,T_numHashtags,T_numSentences,T_numUrls,T_numWords,T_textRepFactor,T_upperCaseChars,T_urlsPerWord,U_category,U_gender,U_hasUsername,U_isPage,U_lenName,U_lenUsername,U_locale,U_pageLikes,U_wordsInName,Z_CLASS
1,0,7,0,2.0,0,2.0,thirdparty,0,0,0,1,0,1,0,82,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,2,0,1,1,8,8,0,26,1,Spam
1,0,0,0,2.0,0,1.0,thirdparty,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,131.0,5.285714285714286,14,0.0,111,0,1,1,21,1.0,19,0.047619047619047616,0,1,1,0,13,10,1,0,2,Spam
1,0,0,5,3.0,11.2,2.5,web,0,0,0,1,1,1,0,21,1,1,1,0,0,1,0,120.2909090909091,6.223904813412656,463,0.0,11442,0,110,2,1849,1.5925925925925926,3795,0.001081665765278529,0,1,1,0,15,15,2,0,2,Spam
1,0,0,0,2.0,0,1.0,mobile,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,76.5,6.045454545454546,14,0.0,133,0,2,2,22,1.0,31,0.09090909090909091,0,2,1,0,12,10,1,0,2,Spam
1,0,0,0,2.0,0,1.0,web,0,0,0,1,1,1,0,20,1,0,0,0,0,1,0,40.5,5.384615384615385,0,0.38461538461538464,69,5,2,2,13,1.4444444444444444,12,0.15384615384615385,0,2,1,0,16,11,1,0,2,Spam
1,0,0,1,2.0,7.0,1.0,mobile,0,0,0,1,0,1,1,37,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,1,1,0,30,28,1,0,4,Spam
1,0,0,0,3.0,0,1.0,web,0,0,0,1,1,0,0,30,1,0,0,0,0,0,0,81.0,8.11111111111111,6,0.0,73,0,1,2,9,1.0,4,0.2222222222222222,0,1,1,0,16,12,3,0,3,Spam
1,0,5,0,3.0,0,1.0,web,0,0,0,1,1,1,0,86,1,0,0,0,0,0,0,10.0,10.0,0,1.0,10,1,1,1,1,1.0,2,1.0,6,0,1,1,0,14,0,261997,0,Spam
1,0,0,0,2.0,0,2.0,mobile,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,52.333333333333336,7.05,16,0.0,139,0,3,1,20,1.0,6,0.05,0,2,1,0,19,8,1,0,3,Spam
1,0,8,0,3.0,0,3.0,mobile,0,0,0,1,1,1,0,105,1,0,0,0,0,0,0,6.0,6.0,0,0.0,6,0,1,1,1,1.0,1,1.0,0,1,1,0,14,14,1,0,2,Spam
1,0,28,0,3.0,0,3.0,web,0,0,0,1,1,1,0,106,1,1,0,0,0,0,0,75.0,7.8076923076923075,3,0.0,202,0,3,2,26,1.1304347826086956,7,0.07692307692307693,4,0,1,1,9,9,0,75360,1,Spam
1,0,0,2,3.0,22.0,2.0,web,0,0,0,1,1,1,0,70,3,0,0,0,0,1,0,70.0,70.0,0,0.0,70,0,1,2,1,1.0,5,2.0,0,1,1,0,17,18,1,0,3,Spam
1,0,0,2,3.0,22.0,2.0,web,0,0,0,1,1,1,0,70,3,1,1,0,0,1,0,120.5,7.066666666666666,25,0.0,210,0,2,2,30,1.1538461538461537,30,0.06666666666666667,0,1,1,0,15,15,4,0,2,Spam
1,0,0,0,2.0,0,1.0,thirdparty,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,89.0,6.5,9,0.0,76,0,1,1,12,1.0,13,0.08333333333333333,5,0,1,1,13,16,0,22717,2,Spam
1,0,0,0,2.0,0,1.0,contentsharing,0,0,0,1,0,1,1,21,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,2,1,0,13,13,7,0,2,Spam
1,0,0,0,3.0,0,2.0,contentsharing,0,0,0,1,0,1,1,44,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,2,0,1,1,10,10,0,202,1,Spam
1,0,0,0,3.0,0,5.0,web,0,0,0,1,0,1,1,80,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,2,1,0,14,15,5,0,3,Spam
1,1,6,0,2.5,0,3.0,thirdparty,1,0,0,1,1,1,0,62,1,0,0,0,0,0,0,122.0,16.571428571428573,2,0.0,116,0,1,1,7,1.0,8,0.14285714285714285,2,0,0,1,32,0,0,18533,6,Spam
1,0,11,0,3.0,0,4.0,mobile,0,0,0,1,1,1,0,102,1,0,0,0,0,0,0,13.0,6.0,1,0.0,12,0,1,1,2,1.0,2,0.5,0,2,1,0,12,13,1,0,2,Spam
1,0,10,0,2.0,0,4.0,mobile,0,0,0,1,1,1,0,119,1,0,0,0,0,0,0,38.0,3.875,7,0.0,31,0,1,1,8,1.0,2,0.125,0,1,0,0,12,0,1,0,2,Spam
1,0,0,0,3.0,0,2.0,contentsharing,0,0,0,1,0,1,1,44,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,1,1,0,0,13,2,0,0,Spam
1,0,5,0,3.0,0,4.0,contentsharing,0,0,0,1,1,1,0,70,1,0,0,0,0,0,0,119.5,5.342105263157895,10,0.0,203,0,2,1,38,1.027027027027027,14,0.02631578947368421,0,1,1,0,13,16,2,0,2,Spam
1,0,0,2,3.054054054054054,8.5,1.1081081081081081,web,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,255.19101123595505,7.165264100268576,2022,0.00017905102954341988,39234,1,178,37,5585,2.170617955693743,6097,0.006624888093106535,0,1,1,0,28,12,1,0,4,Spam
1,0,0,0,2.0,0,1.0,contentsharing,0,0,0,1,0,1,1,21,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,1,1,0,13,10,1,0,2,Spam
1,0,4,0,2.0,0,1.0,web,0,0,0,1,1,1,0,45,1,1,0,0,1,0,0,81.0,5.3076923076923075,10,0.0,67,0,1,1,13,1.0833333333333333,27,0.07692307692307693,3,0,1,1,18,20,0,61583,3,Spam
1,0,6,0,3.0,0,3.0,web,0,0,0,1,1,1,0,79,1,0,0,0,0,0,0,79.0,79.0,0,0.0,79,0,1,2,1,1.0,0,2.0,0,1,1,0,12,12,4,0,2,Spam
1,0,8,0,3.0,0,5.0,thirdparty,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,170.0,9.6875,0,0.0,306,0,2,1,32,1.0,68,0.03125,6,0,0,1,12,0,0,46914,2,Spam
1,0,10,0,2.0,0,2.0,web,0,0,0,1,1,1,0,74,1,1,0,0,0,0,0,59.0,4.454545454545454,6,0.0,49,0,1,1,11,1.0,5,0.09090909090909091,6,0,1,1,15,17,0,136900,2,Spam
1,0,0,2,3.0,22.0,2.0,web,0,0,0,1,1,1,0,70,3,0,0,0,0,1,0,105.0,16.666666666666668,4,0.0,99,0,1,2,6,1.0,5,0.3333333333333333,0,1,1,0,10,12,1,0,2,Spam
1,0,0,0,3.0,0,3.0,web,0,0,0,1,1,1,0,43,1,0,0,0,0,0,0,54.0,5.111111111111111,0,0.0,46,0,1,2,9,3.0,3,0.2222222222222222,7,0,1,1,4,9,0,1441667,1,Spam
1,0,7,0,3.0,0,3.0,contentsharing,0,0,0,1,0,1,1,89,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,1,1,0,13,12,2,0,2,Spam
1,0,0,0,2.0,0,1.0,contentsharing,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,98.0,10.0,3,0.0,90,0,1,2,9,1.0,10,0.2222222222222222,2,0,0,1,12,0,0,524,2,Spam
1,0,28,0,2.0,0,1.0,web,0,0,0,1,1,1,0,106,1,0,0,0,0,0,0,106.0,106.0,0,0.0,106,0,1,2,1,1.0,0,2.0,0,1,1,0,13,10,1,0,2,Spam
1,0,0,0,4.0,0,2.0,web,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,162.0,12.583333333333334,3,0.0,150,0,1,1,12,1.0909090909090908,10,0.08333333333333333,3,0,0,1,46,0,0,223,9,Spam
1,0,3,0,3.0,0,3.0,web,0,0,0,1,0,1,1,71,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,1,1,0,14,14,10,0,2,Spam
1,0,0,0,2.0,0,1.0,contentsharing,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,88.0,5.846153846153846,7,0.0,76,0,1,1,13,1.0,11,0.07692307692307693,0,1,1,0,18,11,1,0,3,Spam
1,0,15,0,3.0,0,2.0,web,0,0,0,1,1,1,0,101,1,0,0,0,0,1,0,25.5,3.8181818181818183,9,0.0,42,0,2,1,11,1.0,12,0.09090909090909091,8,0,1,1,7,7,0,314,1,Spam
1,0,8,0,3.0,0,1.0,contentsharing,0,0,0,1,1,1,0,73,1,0,0,0,0,0,0,49.666666666666664,9.133333333333333,12,0.0,137,0,3,2,15,1.0,4,0.13333333333333333,0,1,1,0,12,14,3,0,2,Spam
1,0,0,0,2.0,0,1.0,web,0,0,0,1,0,1,1,22,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,1,1,0,18,11,1,0,2,Spam
1,0,16,0,2.0,0,2.0,web,0,0,0,1,1,1,0,108,1,1,1,0,0,0,0,65.0,4.541666666666667,17,0.0,107,0,2,1,24,1.0434782608695652,18,0.041666666666666664,6,0,1,1,5,5,0,126309,1,Spam
1,0,0,0,2.0,0,1.0,web,0,0,0,1,1,0,0,21,1,0,0,0,0,0,0,50.5,7.0,9,0.0,91,0,2,2,13,1.0,13,0.15384615384615385,1,0,1,1,17,15,0,965,3,Spam
1,0,0,0,4.0,0,1.0,web,0,0,0,1,1,1,0,22,1,1,0,0,0,0,0,29.238095238095237,5.614583333333333,66,0.0,529,0,21,1,96,1.28,151,0.010416666666666666,0,0,0,0,11,0,0,0,2,Spam
1,0,10,0,2.0,0,1.0,mobile,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,113.5,8.541666666666666,17,0.0,205,0,2,2,24,1.1428571428571428,18,0.08333333333333333,0,2,1,0,10,15,1,0,2,Spam
1,0,4,0,2.5,0,1.5,contentsharing,0,0,0,1,1,1,0,52,1,0,0,0,0,0,0,58.0,7.428571428571429,4,0.0,52,0,1,2,7,1.0,6,0.2857142857142857,4,0,1,1,21,14,0,130125,3,Spam
1,0,9,0,2.0,0,2.0,contentsharing,0,0,0,1,0,1,1,92,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,1,1,0,14,14,6,0,2,Spam
1,0,0,4,2.0,6.25,1.0,web,0,0,0,1,1,1,0,51,1,0,0,0,0,0,0,34.0,3.375,6,0.0,27,0,1,1,8,1.0,1,0.125,0,1,1,0,10,13,3,0,2,Spam
1,0,15,0,2.0,0,2.0,web,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,240.0,13.176470588235293,12,0.0,222,0,1,1,17,1.0,14,0.058823529411764705,9,0,1,1,16,14,0,61420,3,Spam
1,0,0,0,2.0,0,1.0,web,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,54.0,6.857142857142857,5,0.0,48,0,1,1,7,1.0,1,0.14285714285714285,0,1,1,0,23,8,3,0,3,Spam
1,0,0,0,2.0,0,1.0,web,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,33.333333333333336,6.357142857142857,11,0.0,89,0,3,1,14,1.0,14,0.07142857142857142,10,0,1,1,22,7,0,92351,4,Spam
1,1,266,390,2.96958174904943,15.217948717948717,1.8136882129277567,web,1,0,0,1,1,1,0,57,3,1,1,0,0,1,1,215.64125560538116,9.893966681674922,2887,0.002026114362899595,43236,9,223,197,4442,2.2044665012406948,8767,0.04434939216569113,0,1,1,0,13,13,2,0,2,Spam
1,0,7,0,3.0,0,3.0,mobile,0,0,0,1,0,1,1,89,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,2,1,0,11,15,2,0,2,Spam
1,0,0,0,3.0,0,1.0,web,0,0,0,1,1,0,0,44,1,1,1,0,0,0,0,80.33333333333333,8.226415094339623,44,0.0,424,0,6,1,53,1.1041666666666667,43,0.018867924528301886,0,2,1,0,16,8,1,0,2,Spam
1,0,0,0,2.0,0,1.0,web,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,56.666666666666664,4.9655172413793105,18,0.0,142,0,3,1,29,1.16,23,0.034482758620689655,11,0,1,1,14,13,0,118572,3,Spam
